City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Victoria,HK,2020-08-20 01:01:46,22.29,114.16,84.0,79,68,8.99
1,Ushuaia,AR,2020-08-20 01:05:46,-54.8,-68.3,39.2,93,90,29.97
2,Khatanga,RU,2020-08-20 01:05:46,71.97,102.5,54.16,58,4,10.45
3,Esperance,AU,2020-08-20 01:05:48,-33.87,121.9,48.2,100,75,10.29
4,Ribeira Grande,PT,2020-08-20 01:05:48,38.52,-28.7,68.9,68,21,15.59
5,Tahe,CN,2020-08-20 01:05:48,52.33,124.73,65.01,47,0,5.86
6,Sovetskoye,RU,2020-08-20 01:05:48,52.29,85.41,63.91,49,42,5.61
7,Nome,US,2020-08-20 01:04:32,64.5,-165.41,59.0,81,75,16.11
8,Kavieng,PG,2020-08-20 01:03:33,-2.57,150.8,84.54,71,96,8.1
9,Rikitea,PF,2020-08-20 01:05:49,-23.12,-134.97,70.16,85,100,21.79
10,Iacu,BR,2020-08-20 01:05:49,-12.77,-40.21,69.19,80,0,4.0
11,Alice Springs,AU,2020-08-20 01:04:28,-23.7,133.88,64.4,25,0,10.29
12,Denpasar,ID,2020-08-20 01:02:01,-8.65,115.22,78.8,100,75,14.99
13,Butaritari,KI,2020-08-20 01:05:50,3.07,172.79,83.35,77,3,10.36
14,Vaini,TO,2020-08-20 01:05:50,-21.2,-175.2,77.0,83,90,10.29
15,Hermanus,ZA,2020-08-20 01:05:50,-34.42,19.23,44.01,94,100,10.33
16,Ust-Kuyga,RU,2020-08-20 01:05:51,70.02,135.6,39.99,90,100,3.15
17,Yellowknife,CA,2020-08-20 01:05:51,62.46,-114.35,59.0,93,90,5.82
18,Nikolskoye,RU,2020-08-20 01:05:48,59.7,30.79,54.0,93,0,4.47
19,Tazovskiy,RU,2020-08-20 01:05:51,67.47,78.7,57.42,83,97,12.5
20,East London,ZA,2020-08-20 01:05:51,-33.02,27.91,51.98,54,0,5.46
21,Airai,TL,2020-08-20 01:05:41,-8.93,125.41,73.47,33,6,3.04
22,Hilo,US,2020-08-20 01:05:52,19.73,-155.09,82.4,65,90,10.29
23,Mhlambanyatsi,SZ,2020-08-20 01:05:53,-26.45,31.02,42.8,75,74,3.36
24,Goryachiy Klyuch,RU,2020-08-20 01:05:53,44.63,39.13,64.99,82,0,4.47
25,Cape Town,ZA,2020-08-20 01:05:54,-33.93,18.42,54.0,87,40,8.05
26,Provideniya,RU,2020-08-20 01:05:54,64.38,-173.3,59.0,62,40,13.42
27,Ilulissat,GL,2020-08-20 01:05:54,69.22,-51.1,51.8,40,0,2.24
28,New Norfolk,AU,2020-08-20 01:04:12,-42.78,147.06,53.01,76,0,5.01
29,Bethel,US,2020-08-20 01:05:55,41.37,-73.41,68.0,77,75,4.7
30,Skelleftea,SE,2020-08-20 01:05:38,64.75,20.95,59.0,93,100,5.82
31,Castro,BR,2020-08-20 01:05:56,-24.79,-50.01,52.03,96,100,2.64
32,Punta Arenas,CL,2020-08-20 01:02:58,-53.15,-70.92,44.6,81,53,24.16
33,Camalu,MX,2020-08-20 01:05:56,30.85,-116.07,80.49,59,65,8.37
34,Odesskoye,RU,2020-08-20 01:05:56,54.21,72.97,51.58,79,100,12.06
35,Honggang,CN,2020-08-20 01:05:58,46.47,124.87,66.87,48,0,5.61
36,Thompson,CA,2020-08-20 01:03:53,55.74,-97.86,69.8,60,75,3.36
37,Mataura,NZ,2020-08-20 01:05:58,-46.19,168.86,55.99,77,93,1.99
38,Luderitz,NA,2020-08-20 01:05:59,-26.65,15.16,59.94,31,0,8.9
39,Caranavi,BO,2020-08-20 01:05:59,-15.82,-67.55,65.48,93,67,3.44
40,Takhatgarh,IN,2020-08-20 01:05:59,25.33,73.0,80.49,86,99,8.03
41,Katangli,RU,2020-08-20 01:06:00,51.71,143.23,61.99,56,0,19.37
42,Tasiilaq,GL,2020-08-20 01:06:00,65.61,-37.64,44.6,75,0,12.75
43,Carnarvon,AU,2020-08-20 01:03:44,-24.87,113.63,62.6,51,100,10.29
44,Pau Dos Ferros,BR,2020-08-20 01:06:00,-6.11,-38.21,70.99,63,33,2.98
45,Tucuman,AR,2020-08-20 01:04:08,-26.82,-65.22,53.6,34,90,4.7
46,Baykit,RU,2020-08-20 01:06:01,61.67,96.37,55.65,85,100,3.02
47,Vanimo,PG,2020-08-20 01:06:01,-2.67,141.3,86.07,59,0,6.78
48,Buraydah,SA,2020-08-20 01:06:01,26.33,43.98,84.2,18,30,3.36
49,Palmer,US,2020-08-20 01:06:02,42.16,-72.33,64.4,93,40,2.15
50,Fort Nelson,CA,2020-08-20 01:06:02,58.81,-122.7,71.6,33,40,12.75
51,Catamarca,AR,2020-08-20 01:06:02,-28.47,-65.79,48.99,44,96,5.99
52,Nioro,GM,2020-08-20 01:06:02,13.35,-15.75,78.03,91,84,4.38
53,Geraldton,AU,2020-08-20 01:06:03,-28.77,114.6,55.4,76,23,5.82
54,Hobart,AU,2020-08-20 01:01:31,-42.88,147.33,54.0,50,40,18.34
55,Nanortalik,GL,2020-08-20 01:03:10,60.14,-45.24,46.33,78,5,13.71
56,Saldanha,ZA,2020-08-20 01:06:05,-33.01,17.94,42.8,87,85,1.12
57,Yuzhno-Kurilsk,RU,2020-08-20 01:06:06,44.03,145.86,64.85,91,100,11.97
58,Sonari,IN,2020-08-20 01:06:06,27.07,95.03,80.6,83,40,5.82
59,Santiago,CL,2020-08-20 01:03:37,-33.46,-70.65,50.0,71,0,3.36
